,business_id,name,address,city,postal_code,latitude,longitude,stars,tips,cusines
6724,DsY6r2aWZ9f-rEn_AeEbYA,Thunderbird,5339 SE Foster Rd,Portland,97206,45.4951608,-122.6075737,4.5,"***  Check your tab if upgrading to tots!!! ***

10/5/19 visit, PoS system charges $2.00 for tots, menu says add tots $1.00. Bartender couldn't fix it while I was there so he bought me a beer.",American (Traditional)
6756,nAgWcMOCl35QO6XSZSR_QQ,La Isla Bonita,302 NE 122nd Ave,Portland,97230,45.5245804,-122.5373299,3.5,Absolutely delicious!!!,Mexican
6761,0tZ9L9zFl8QHxLCGmb3Z_A,Cafe Yumm!,14601 SW Millikan Way,Beaverton,97003,45.495021,-122.827069,3.5,Cafe Yumm! is one of my fav lunch spots!,American (Traditional)
6771,CJ0CH7SbzqDGU-eU7K-DEA,Thai Orchid Restaurant,18070 NW Evergreen Pkwy,Beaverton,97006,45.5365585663,-122.8638924152,3.0,,Thai
6802,F744EgFmkAqDAku1EpyYVA,Po' Shines Cafe De La Soul,8139 N Denver Ave,Portland,97217,45.5822699,-122.6873082,3.5,Delicious chicken and waffles served all. day. long.,American (Traditional)
6810,YNPhvsvexACL6zPcG3xk1Q,The Doghouse Pdx,5029 Se Division St,Portland,97215,45.505498,-122.610329,4.5,Our food is always ready so fast!,American (New)
6836,83U-Xi_XyXdRHavh88tKwQ,Ichiban Japanese Restaurant,13599 NW Cornell Rd,Portland,97229,45.528579,-122.816285,4.0,,Japanese
6851,z90h5I91-mFd6CO7uoIy1w,Bamboo Sushi,1409 NE Alberta St,Portland,97211,45.5592308,-122.6513252,4.0,"sweet shrimp from British Columbia, salmon from Alaska, geoduck from Washington, albacore from Oregon, and tuna from Hawaii",Japanese
6981,ClKtrr9LUlmg0rKvMGEOZA,Radio Room,1101 NE Alberta St,Portland,97211,45.559299,-122.654318,3.5,"Good stuff, The bartender was great!",American (New)
7094,PRlRTWlY3jEYPhuVBE5s0w,Buffet Palace,12570 SW Center St,Beaverton,97005,45.4933688,-122.8061569,2.5,I liked it,Chinese
7134,K1jNnR8wWgHEWMRTGmKAaw,Tuk Tuk,3226 N Lombard St,Portland,97217,45.576946,-122.7000609,3.5,Excellent food. Their pumpkin curry is delicious! Try them!,Thai
7182,ptY45zoDMA2pXEkgbaSWCA,The Lost & Found,5426 N Gay Ave,Portland,97217,45.5625044,-122.6897385,4.0,Beautiful little gem of a place. I love that it's so hidden.,Mexican
7190,SCO7tq7IZYbWHs1rqoHwZg,Pepino's Mexican Grill,914 NW 23rd Ave,Portland,97210,45.5293542,-122.6983402,4.0,The Al Pastor tacos don't have pineapple in them. What in the actual f.....,Mexican
7259,g6sjI5OEMmvqncij-FSGsQ,Cantina Xica,1668 NW 23rd Ave,Portland,97210,45.5345915,-122.6980431,3.5,,Mexican
7277,h4SRhIs6gheGazN-U2HUkg,Tiger's Cafe,2045 SE Belmont St,Portland,97214,45.5165421,-122.6445908,3.0,,Mediterranean
7282,9fcN6YIzQnXLJ_CvuWHdhA,Avid Cider Co,121 NW 9th Ave,Portland,97209,45.523981,-122.6804397,4.5,"Great place to watch a game!  Good wings, great pizza. Try the P-Town blend!",American (New)
7284,_04PFbEbmfy7lKovpSF0xQ,Pho Corner,6120 NE Sandy Blvd,Portland,97213,45.5439001,-122.5995999,4.0,It's the closest one to our home with the best offerings for the price.,Vietnamese
7350,Eu7CG7Xtsy5f5IqA7Aahjg,Chow,505 NW 14th Ave,Portland,97209,45.5266355,-122.6858464,2.5,,American (Traditional)
7378,bkXaCV43GuvUdB2isZFi2g,Beulahland,118 NE 28th Ave,Portland,97232,45.5239233,-122.6370112,4.0,,American (Traditional)
7379,LNQcbbmRwiTLjKzCXWHyHw,Little Arabia Grill,8145 SE 82nd Ave,Portland,97266,45.4636025,-122.5796078,4.0,I don't know what to say except its damn good. The guy behind the counter was fun.,Mediterranean
7387,QeRqUDEMy9Jz21gP9qZMtw,Taquero Mucho,7339 NE MLK Jr Blvd,Portland,97211,45.5763193,-122.6617429,5.0,,Mexican
7431,ZlLHKxS9olLLr1-B007OlA,Joy Teriyaki,"7500 SW Dartmouth St, Ste 110",Tigard,97223,45.4328681942,-122.7540288716,3.5,,Japanese
7465,ofaCxO85G8Lqd-4a5Fn45A,Heron Lakes Golf Club,3500 N Victory Blvd,Portland,97217,45.604555,-122.705109,3.5,Nice layout.  Good price,American (Traditional)
7475,OThSRLbbRDTAKcjK2WLYzw,Chez Jose Mexican Cafe,8502 SW Terwilliger Blvd,Portland,97219,45.4635378,-122.683784,3.5,Fantastic food and fantastic service!,Mexican
7483,U2zhFVzEo0TzOF3mwI9-Iw,Iyara Thai Restaurant,1914 W Burnside St,Portland,97255,45.5229214,-122.6905192,4.5,,Thai
7511,Mo1vbkerRM3pmK1Gn1dv4w,Taco Del Mar,15170 SW Bangy Rd,Lake Oswego,97035,45.416131,-122.7422676,4.0,,Mexican
7525,lveytQ9p_eySPP34ZbOKdw,Thai Go!,"Pioneer Place, 700 SW 5th Ave",Portland,97204,45.516964,-122.6732897,4.0,,Thai
7576,3IjJfMkVRR2wsuDVpVR2Ew,Wafu Restaurant,3113 SE Division St,Portland,97202,45.5048131,-122.6333997,3.5,,Japanese
7578,LVWjGq7lAyNxa4ZWaRyv5g,The Triple Lindy,1000 NW 17th Ave,Portland,97209,45.5301239,-122.6882617,4.5,"Worst place in Portland I've EVER been. Staff is ridiculous, so are the clients.",American (Traditional)
7695,HUFfgBr9jonw1RE5nr0V-Q,Taquería de Todo Poco,7476 SE 82nd Ave.,Portland,97266,45.4689229,-122.5787093,4.5,,Mexican
7762,dPUp-icjBz6ARGXfQ78laQ,Hunan Pearl,15160 SW Bangy Rd,Lake Oswego,97035,45.4161503,-122.7421102,4.0,Always great food and great service. Never disappoints!,Chinese
7946,suBaZ73XJVJoC7a4xGwSdg,Rice Junkies,620 SW 9th Ave,Portland,97205,45.5200018,-122.680823,3.0,,Chinese
7959,4CdwElFdWytCtiWhezD_Zg,Cha Cha Cha Taqueria,4823 Meadows Rd,Lake Oswego,97035,45.4180855,-122.7257899,3.0,,Mexican
8026,a2ncoCQVlstbalrj6s2g3g,Taqueria Lindo Michoacan,4035 SE Division St,Portland,97202,45.5051204662,-122.6205315368,4.5,,Mexican
8079,ft_Z1dVABd3k6BDUQ9nFGA,Golden Crown Restaurant & Lounge of China,10655 SW Beaverton Hillsdale Hwy,Beaverton,97005,45.4866588,-122.7865377,2.5,,Chinese
8091,s2Gam8OJaThBi9imm_LCng,Berkeley's Bar & Grill,6302 SW Meadows Rd,Lake Oswego,97035,45.4172516195,-122.741403915,4.0,"This place is a nice home town bar,the owner is usually onsite and mingles with the guests.",American (Traditional)
8137,bWhiIJYLhvO9xf1zmyahMQ,Cha Cha Cha Taqueria,4727 NE Fremont St,Portland,97213,45.5485255,-122.6143919,3.0,,Mexican
8181,tv6FF_lv1poAimjQcOQlWQ,Siete Suerte Mobile Taqueria,323 W Burnside St,Portland,97209,45.5231685,-122.6741109,4.5,,Mexican
8189,_OX6gDpHBq6DI4U2fBUvQg,Sawasdee Thai Food,Q 19 NW 19th & Quimby,Portland,97209,45.5334926,-122.6906396,4.0,,Thai
8253,fNkX4JGvBMmLSoAONwm3ew,Bangkok Palace,300 SW Taylor St,Portland,97204,45.5168376,-122.6765675,3.5,Great price! Delicious food! Friendly service!,Thai
8321,G2Q3ukeP3AX_DBfZuKyl3w,Taqueria El Cazador,10151 SE Foster Rd,Portland,97266,45.4772787458,-122.5588869532,4.0,"Love everything about this place good service , delicious food. Really recommend it",Mexican
8331,U-a0uH2NWSuH8BBgZUta4Q,Superbowl Teriyaki,12865 SW Canyon Rd,Beaverton,97005,45.4885976185,-122.8088412475,4.5,Great Teriyaki chicken and very affordable!,Japanese
8339,vymQXDKnGFiBC2qaI3pJJw,Treasure Island,15930 SW Regatta Ln,Beaverton,97006,45.515957,-122.841465,2.0,,Chinese
8389,Hzc6Nk_WZkVQvsdE4-cWvg,Taco Bell,13305 SW Pacific Highway,Tigard,97223,45.423309,-122.782618,2.0,It's not perfect but it's a given. I looooooveeeee Taco Bell.,Mexican
8416,SzpKYMMfyZTIaOCZDfG9rA,Thai Flavor Restaurant,11461 SW Scholls Ferry Rd,Beaverton,97008,45.4466056,-122.7943069,4.0,,Chinese
8485,_Gp7wp0kLa9645oi3y_Ygw,Pho Nguyen,4795 SW 77th Ave,Portland,97225,45.4856055,-122.7572231,4.0,This is the BEST Vietnamese food!!!,Vietnamese
8598,aGdExYL57Kvl0So-EvYjjQ,NW Teriyaki House,10204 SW Park Way,Portland,97225,45.507683,-122.782404,4.0,"Yummy, inexpensive food served quickly!!",Japanese
8658,JwRtYdcqqpYc9ZuJV9sMlQ,Kayo's Ramen Bar,"3808 N Williams Ave, Ste 124",Portland,97227,45.5501766,-122.6663747,4.0,Such good food. Very popular ramen,Japanese
8687,yA-54p7kptMV7kztHDTFdg,Mazatlan Mexican Restaurant,15655 SW 116th Ave,Portland,97224,45.406524,-122.7970084,3.5,Great food and friendly staff!,Mexican
8717,ScwkqJdlx57x9HZ6IwX0Mg,Garden Bar by Evergreens,25 NW 11th Ave,Portland,97209,45.523349,-122.682384,4.0,,American (New)
8718,EgG2t6C22-mLU789Xw734w,Pho Van Beaverton,11651 SW Beaverton Hillsdale Hwy,Beaverton,97005,45.4876336,-122.7971589,3.5,My favorite pho spot in town!,Vietnamese
8746,-JcBs4Sw88YtSrXRu2MkQg,Shiraz Restaurant,"10115 Sw Nimbus Ave, Unit 150",Tigard,97223,45.446582,-122.789878,4.0,,Mediterranean
8756,niDgVxFdTyn-qaxj4GWnQg,Chefino's,2700 NE Alberta St,Portland,97211,45.5587667,-122.6374991,4.5,,Mexican
8803,hSGVJPf-U-u13iWsiaB0hg,Hama Sushi,4232 NE Sandy Blvd,Portland,97213,45.5362093,-122.6192748,3.0,,Japanese
8819,ivwHVLNEaTTwpOqaPPwbQw,La Mai Plate,7875 SE 13th AVE,Portland,97202,45.467498,-122.6532781,5.0,,Thai
8861,P8Kp10s_s8iHH5ZPQrtDVg,Pepper Box Cafe,932 SE Morrison St,Portland,97214,45.5170111,-122.6559659,4.5,"The food was delicious. I had the migas, best breakfast I've had in a while.",Mexican
8943,m_W9wVAFPU85ETYYhww8Rg,Portland Urban Bistro,1914 W Burnside St,Portland,97209,45.5229214,-122.6905192,3.0,,American (Traditional)
9092,oM6wzNNo7Q0MqLBgh-hPgQ,Taco Salsa,14919 SE Stark St,Portland,97233,45.5196459,-122.5095362,4.5,Yuck,Mexican
9124,VSd6W8v5SAitttBGmVrP8w,The Lumberyard,2700 NE 82nd Ave,Portland,97220,45.541577,-122.5776487,4.5,,American (New)
9128,S9zEhTEukbJog-T6g4XnCQ,El Sombrero Mexican Cocina,10820 NE Sandy Blvd,Portland,97220,45.5584114,-122.5511601,4.0,Epic salsa,Mexican
9153,ufdfOHSK95tPN3FKvqt9jw,Mi Burrito,819 N Lombard St,Portland,97217,45.5773405,-122.6753,4.5,Just ok,Mexican
9195,RT1ZqWKVIDuk166b_aeH8w,Songbird,6839 SE Belmont St,Portland,97215,45.5170897,-122.5923393,3.5,,American (New)
9274,OCOonWpj2tYjl1pc0EQ7uA,Triple Nickel Pub,3646 SE Belmont St,Portland,97214,45.5162617,-122.6260997,3.0,,American (New)
9284,7sHSPMpHntVe1XiTRZT47w,La Panza Cafe,2425 SE 26th Ave,Portland,97214,45.5050204,-122.6398891,4.0,Mmmm chili reno,Mexican
9318,W5SxaMHI_FxzAYF_p4C9qQ,Sweet Home Bar & Grill,2824 N Lombard St,Portland,97217,45.576884,-122.6960582,4.0,,American (Traditional)
9323,H05t410STUGbST-ij3WrIQ,Loco Locos Burritos,1728 SW Broadway Ave,Portland,97201,45.5121327,-122.6832892,3.5,,Mexican
9369,3hJL2vadS5mWwearPfAUSg,Farm Spirit,1403 SE Belmont St,Portland,97214,45.5167118,-122.6514464,4.5,This place is 100% vegan.,American (New)
9371,JStFdtrKATKWGsxzzpDhBg,Taco Bell,4616 N Interstate Ave,Portland,97217,45.556164,-122.682116,2.5,,Mexican
9380,Ym3c1Oy3egq4u7GhQsSp7A,E-san Thai Food Cart,4250 SW Rose Biggi Ave,Beaverton,97005,45.4892014,-122.808245,4.5,Love the food here!,Thai
9573,uI_DtdwNsUrXYGjntYdP8A,El Grillo,703 SW Ankeny St,Portland,97205,45.5227091,-122.6780149,4.0,,Mexican
9602,5nhC8o0M7th5n5MPQ1_zcA,Gastro Mania,SW 1st and columbia,Portland,97205,45.5130431178,-122.6763452688,4.5,,Mediterranean
9654,F6AaT6EbPPJAIVpiw4wR9A,Muchas Gracias Gateway,"1307 NE 102nd Ave, Ste K",Portland,97220,45.5322840298,-122.5590957711,3.0,One of my favorite restaurants and the employees are really nice,Mexican
9741,8xFRSwEsvvD69Vm2NW6lcw,Senor Taco,333 S State St,Lake Oswego,97034,45.4138207,-122.66367,3.5,"Good food, and great service. Here is an updated menu shot.",Mexican
9748,3n5Nl5qTg4eXVesY-CrmXg,Jade Dragon Chinese Restaurant & Lounge,6327 SW Capitol Hwy,Portland,97239,45.4789474,-122.6946318,3.0,,Chinese
9911,pQoY1sdD0NGMAm8hzAEYdA,New China Garden,14908 SE Powell Blvd,Portland,97236,45.4973482,-122.5094175,3.5,,Chinese
9944,DizONyXOfK9bIhJ5XWb1Bg,Woo Jung Oak,8510 SW Hall Blvd,Beaverton,97008,45.4593287,-122.7892289,3.5,,Chinese
9989,TMRu_SiJJfJco5GGla5ZFQ,Cha! Cha! Cha!,305 NW 21st Ave,Portland,97209,45.5250595,-122.6946436,3.0,,Mexican
10084,O6rQLsHmnVexTX4_xkN-wg,D.F.,1139 NW 11th Ave,Portland,97209,45.5313824,-122.6825914,4.0,,Mexican
10181,GVCjlqvWrd6CcqYpJv59sw,Manzana Rotisserie Grill,305 1st St,Lake Oswego,97034,45.4181089,-122.6637224,3.5,The worst quesadilla ever. Could not eat it. No atmosphere.,American (New)
10196,X3s2-I_Ar25rIzZ2cOPDjw,John Barleycorns,14610 SW Sequoia Pkwy,Tigard,97223,45.414533407,-122.7466480961,3.5,"Happy hour 3-6pm daily, even on weekends. $1 off all beer. Small but decently selection of food menu.",American (Traditional)
10216,3Unhqrfpnlh3Zlidk5xznw,Panda Cafe,1968 SW Broadway,Portland,97201,45.5096028,-122.6847124,3.0,,Chinese
10262,iOoEWAB37lAj_YMAWkJaew,Tawan House Thai Bistro,3724 NE Broadway,Portland,97232,45.5349855,-122.6242916,4.0,,Thai
10288,RlrYKNPtRX1OKe7hdiNZLQ,Mai Wah,18088 SE Mcloughlin Blvd,Portland,97267,45.3926136,-122.613151,3.0,,Chinese
10308,Wz4MkGhBx0ZkhkD5H0lbJg,Philly's Best,7410 NE Mlk Jr Blvd,Portland,97211,45.5770646086,-122.6610660553,4.0,,American (New)
10327,ViDT7_-VFrTdybp2WHiR5Q,Kati Portland,2932 SE Division St,Portland,97202,45.5045814514,-122.6349945068,4.5,Delicious! The flavors are great and you don't miss the meat!,Thai
10423,0hnp-Xg51qq9JAv7I1b6xg,Little Big Burger,3704 SW Bond Ave,Portland,97239,45.496371,-122.670754,3.0,They said they're going to be out of ice cream sandwiches for a while; that delivery ceased on them.,American (Traditional)
10480,B8YfBTVXvD7wZBgukBTung,La Merced,1510 SE Water Ave,Portland,97214,45.5118833,-122.6654255,4.0,,Mexican
10495,5zXdkJfP8ww8SL4O_pSOxw,Rolling Gourmet Fusion,930 SW Washington St,Portland,97205,45.5211583,-122.6807241,4.5,,Japanese
10504,mButHux7gkUlNlKuUMnM0A,J Mo's Sandwich Shack,5205 SE Foster Rd,Portland,97206,45.4958110597,-122.6086833452,4.5,,American (Traditional)
10546,mZLubU2cIDX57Vm7ntjQJA,Chipotle Mexican Grill,910 SE 10th Ave,Portland,97214,45.5162634505,-122.6554763402,3.0,Very friendly staff!! Also felt very clean!,Mexican
10559,7ZOIeYFVzbwZyQlHp0SdaQ,My Canh,1801 NE 39th Ave,Portland,97212,45.535835,-122.6233031,3.5,,Chinese
10573,WvNcZHgeI2mwxsHFaVHKiQ,Bacon PDX,5221 NE Sandy Blvd,Portland,97213,45.5407762231,-122.6094223833,4.0,,American (New)
10648,e02lyQz18tRtRGrwbS4PHA,Giant Gyros,18 SE 82nd Ave,Portland,97216,45.5225587848,-122.5786702707,4.5,The best I've ever had,Mediterranean
10685,IyFESpWzfNdbtJiXO55wzw,Zeek's Cheese Grill,6238 SW Capitol Hwy,Portland,97239,45.4786805456,-122.6930541918,4.0,,American (New)
10686,K2k3pcyxJg2iYLZAaugtAA,Taqueria Portland,820 SE 8th Ave,Portland,97214,45.5168299,-122.6576199,4.0,"This place is awesome very good and tasteful, I would recommend tburrito",Mexican
10717,x5__2gbS-nlK9mCAsSF61Q,Nick's Famous Coney Island,3746 SE Hawthorne Blvd,Portland,97214,45.5118877,-122.6249211,3.5,,American (Traditional)
10727,MzPR0O4yJcj9pMwdVOyZPA,Pho Vinh,7330 NE Fremont St,Portland,97213,45.5479576,-122.5872203,4.0,,Vietnamese
10954,IPz11UobWuxRmkhBl-8IFg,Taqueria Mi Mole,18488 E Burnside St,Portland,97233,45.5207183,-122.4728386,4.5,,Mexican
11027,uS8DBdXFgXRT-SaYgfVF2Q,Mae Ploy Thai Cuisine,2531 NE Alberta St,Portland,97211,45.559219,-122.639196,3.5,,Thai
11052,HOmIWtUBhTAcctKdMShG3A,Cha Lua Bakery And Deli,5913 SE 82nd Ave,Portland,97266,45.4798859,-122.5792219,4.0,Look no further! This is the one.,Vietnamese
11099,eBYzTajUiLnbjxctQfeecA,Gilhooligans Bar & Grill,10810 NE Sandy Blvd,Portland,97220,45.5584338954,-122.5514631421,3.0,,American (Traditional)
11102,AZsQZRGeX1xSe_rArezXHg,Panda Express,10090 SE Washington St,Portland,97216,45.5181434,-122.5598198,2.5,,Chinese
11169,tYLGB2Hw9U-csfH4KAN0LA,Thai Food Factory,SW 9th Ave & SW Washington St,Portland,97205,45.5210921,-122.6804345,3.5,,Thai
11199,hBCVskXgYxotnXPXLV2RzA,Pho 99W,11640 SW Pacific Hwy,Tigard,97223,45.4380681,-122.754203,5.0,Nice mom and pop restaurant. Pretty solid food and price.,Vietnamese
11247,7gNnLMMaol-rzYveud383w,Marathon Taverna,1735 W Burnside St,Portland,97209,45.5230756,-122.689067,3.5,"$3 for two eggs, two strip Bacon's or sausage links and toast or an over easy eggs on an open faced biscuit and two strips of bacon or sausage links 7am - 2pm or 10pm -2 am daily",American (Traditional)
11281,E1sJVozqmmwcTinEuf-scQ,Boonrod Thai,SW 4th Ave And Sw Hall St,Portland,97201,45.509867,-122.6812479,3.5,,Thai
11309,_pN6ATPBoeTt03ji14Yj2g,Joy Wok Healthy Chinese,7331 SW Barnes Rd,Portland,97225,45.5161585,-122.7527142,3.5,Great food that is healthy. Been here a long time. Chow mein is good.,Chinese
11336,EmxTyqCuTTs-rHtF9GyoZg,Zien Hong,5314 NE Sandy Blvd,Portland,97213,45.5404821,-122.6085939,4.0,They have Crispy Tofu Pepper-Salted on the menu.,Chinese
11462,6esjQIIFAMF1cvnFGEyiCw,Taco Time,9651 SW Washington Square Rd,Tigard,97223,45.4484202,-122.7829344,2.0,,Mexican
11510,xA4q9OmjABydFK0JMWSgog,Next Level Burger,4121 SE Hawthorne Blvd,Portland,97214,45.5123678,-122.6196438,4.0,Ordered a milkshake that shit was clear coconut water. That's an icee. Duh,American (New)
11544,-XVgcEK_Qb7-NfiW2E4TGQ,Quan Linh Asian Bistro,"8230 SE Harrison St, Ste 345",Portland,97216,45.5076968,-122.5782471,4.0,,Chinese
11550,UUjtPWxc_G5mXkdgIMLdqA,Lady Thai,SW 3rd Ave & SW Washington St,Portland,97204,45.5195838,-122.6748057,3.0,,Thai
11574,uxqcjqaIAJvLjtVDhnTYTg,P F Chang's China Bistro,1139 NW Couch St,Portland,97209,45.5238061,-122.6829732,3.0,,Chinese
11594,7FpWEaUcb90uO74UeTY8HA,Chinese Garden,410 SE 162nd Ave,Portland,97233,45.5200142,-122.4960087,2.5,Great food great service,Chinese
11599,GYcXkE8mXhGRJrKOqzbkEg,Chipotle Mexican Grill,240 SW Yamhill St,Portland,97204,45.5173936911,-122.6757697,3.0,"Order online, no wait to pick up!",Mexican
11658,zqDaDcrPJbecQhT4z6okIg,Happy Panda Restaurant,1415 NW 185th Ave,Beaverton,97006,45.5302757078,-122.8690452003,3.0,Yuck,Chinese
11671,M-bjCLEF_mK0cJsfn33A_w,Bamboo Sushi,380 First St,Lake Oswego,97034,45.4191038,-122.6646301,3.5,Get green machine x 5! So good! Nice atmosphere. Good cocktails too. Sustainably and responsibly fished.,Japanese
11676,YaTnie91k1SzrjR9R21c_g,Los Mayas Loncheria,4212 NE Prescott St,Portland,97218,45.5552093,-122.61997,4.5,"Delicious, fast, nice folks.  Their chicken burrito was especially great.",Mexican
11703,9pF5afrrEgBVfWmf2EMvsg,Laurelwood Brewing Co,7000 NE Airport Way,Portland,97218,45.5875201,-122.5894608,3.5,,American (Traditional)
11796,IjDXcfC08t3ZUUruUXzM0w,Farmhouse Kitchen Thai Cuisine,121 NW 9th Ave,Portland,97209,45.5238254,-122.6802718,4.0,,Thai
11877,-3hnEon-pSQRGPDr80s3Gw,El Burrito Azteca,1942 N Rosa Parks Way,Portland,97217,45.5697447,-122.6872464,4.0,Referred by a friend..  Tacos are AMAZING!!!,Mexican
11938,-mWPfOHb6ad_GH2sxZRjPw,Sub King,2821 NW Saint Helens Rd,Portland,97210,45.5426529,-122.7209743,4.0,,American (New)
11992,Vi6y9vfGONmbn5KkCpPGow,Curbside Kebabs,433-499 SW College St,Portland,97201,45.5093578025,-122.6820377351,3.5,,Mediterranean
12009,qe82jZbbLVqz5WpG2nYlcA,Panda Express,1933 W Burnside St,Portland,97209,45.5232458,-122.6911315,2.5,,Chinese
12037,kSIqBg0Ig10coKNRxtBWDA,Laughing Planet,1720 SW 4th Ave,Portland,97201,45.5115364,-122.6800491,4.0,:),Mexican
12039,5teGd1_gcYqI_TGZ7uw2Lw,Yesenia's Market,6611 SE Powell Blvd,Portland,97206,45.4977944,-122.5952538,4.5,,Mexican
12044,ZlTbMSDS9Q85T-05vfAlwQ,Breken Kitchen,1800 NW 16th Ave,Portland,97209,45.5359417,-122.6873174,4.0,Good Avocado Toast.,American (New)
12058,AoHRA5m-cosdugNXVtqhBQ,CT Bistro,13595 NW Cornell Rd,Portland,97229,45.528559,-122.816229,4.0,Amazing Thai food!! They really care about the quality of their food,Vietnamese
12116,WpdER4vBE9p4aBUnKGKj9A,72nd Avenue Pub,7610 SE 72nd,Portland,97206,45.468183,-122.589041,4.0,,American (Traditional)
12206,crU16VRtOKYLkoVbjwGXRQ,WildFin American Grill - Beaverton,"2725 SW Cedar Hills Blvd, Ste 130",Beaverton,97005,45.5005773,-122.8091936,4.0,High price for mediocre food.. The service was about the same.,American (Traditional)
12293,Fv_4mQXUKRfaNT0UpM_rGQ,Wong's Garden,10820 SE Oak St,Portland,97222,45.4441224,-122.6273775,3.0,Love this place! So good and huge portionS,Chinese
12305,JnfM3uI9ebxbq8PS1Ki3SA,Laurelthirst Public House,2958 NE Glisan St,Portland,97232,45.5262542,-122.634665,4.0,,American (Traditional)
12368,I1Y5CsBDPHJqJXqVHMdg-Q,Florida Room,435 N Killingsworth St,Portland,97217,45.5629082,-122.6709066,3.5,,American (Traditional)
12402,OTYNnNKrWbeU5yoi7Hcnng,Bento's Teriyaki 3,"15915 NW Schendel Ave, Ste 101",Beaverton,97006,45.520423,-122.84086,3.0,Excellent food at a great price! I love this place!,Japanese
12482,mQbS-ZhKVc0zyqXp9v0TWQ,Shenzhen,707 NE 82nd Ave,Portland,97220,45.5277404785,-122.5794143677,3.5,,Chinese
12488,u19fK4NPFH-shXWY5VFoHg,Salt & Pepper,8419 SE Woodstock Blvd,Portland,97266,45.47958,-122.576206,4.0,,Mexican
12491,f9GKB9hxrON58mO4kfXSyA,Country Inn & Suites By Carlson,7025 NE Alderwood Rd,Portland,97218,45.5743622,-122.5832122,3.5,,American (Traditional)
12493,82E6Mzc7D98FmlaqCfq5Yw,Antojitos Mexicanos,11516 N E Sandy Blvd,Portland,97220,45.5577122751,-122.5440000932,4.5,Great food for a great price,Mexican
12496,HDYG6vTQ2zywH0pv4CEBYA,4 dub grub,8145 SE 82nd Ave,Portland,97266,45.4635086746,-122.5794524699,4.5,,American (Traditional)
12573,bu7HLKDP5B2P0JoMEqS-ow,Mexicali Express,12950 SW Canyon Rd,Beaverton,97005,45.488022,-122.8098984,4.0,Delicious chicken burrito! Very fast and friendly!,Mexican
12655,p_RrgCVUdTOi7b-If3i8Cg,Thai Spoon,1334 SE Hawthorne Blvd,Portland,97214,45.5120513,-122.6520857,3.5,,Thai
12657,mpty5wOn8JRFpLF_NQU4rA,Yen Ha,6820 NE Sandy Blvd,Portland,97213,45.546695,-122.592855,3.5,This restaurant has the  best calamari and wings in town. It's a much try,Vietnamese
12726,JjKGbVvXy5sYGOTfta4MvA,Soluna Grill,4440 NE Fremont St,Portland,97213,45.5481169,-122.6170437,4.0,,American (New)
12730,PZDiGajv10ROX0NGxMSyRA,The Knock Back,2315 NE Alberta St,Portland,97211,45.5592532,-122.6415703,4.5,I love this place... whatever.,American (New)
12745,Lev5m6EnnN1LimuNV5y3eQ,Verdigris,1315 NE Fremont St,Portland,97212,45.5483639,-122.6524147,4.5,Fantastic meal with attentive servers. 5 stars all the way!,American (New)
12809,CJXJCIplo9j-M46oPgNFzg,Acapulco's Southwest Gold,7800 SW Capitol Hwy,Portland,97219,45.4678568,-122.7130155,2.5,,Mexican
12841,0FI69zi7idMfjvgWMZ38oA,Bumblekiss,3517 NE 46th Ave,Portland,97213,45.5485214,-122.6163373,4.0,,American (New)
12844,5pdCkLqu7oeVYUN8YZaeQQ,Eagle Thai Restaurant,822 NE Broadway St,Portland,97232,45.5348612,-122.6570041,3.0,,Thai
12859,FSsKpfnbxnGnMqg1tc69iQ,Nana,1625 NE Alberta St,Portland,97211,45.5593585,-122.6483421,4.5,The food is amazing & authentic af,Vietnamese
12891,znuiSxCNF6MyJFVmYUqpJg,Superbite,527 SW 12th Ave,Portland,97205,45.5214712,-122.6840132,4.5,,American (New)
12967,v9c6zLaiPD58-Z3rf6tHVA,Jackson's Lite-N-Tasty,515 SW 4th Ave,Portland,97204,45.5196411,-122.6761536,3.5,,American (Traditional)
12972,rIe8OdmSr4fV2EN2XcuYUQ,Panda Kitchen,1968 SW Broadway,Portland,97201,45.5096054077,-122.6847076416,2.5,,Chinese
13032,NEjbVs_50_iR-cRGrPMJkw,North Light,3746 N Mississippi Ave,Portland,97227,45.5501692843,-122.675399654,4.0,,American (New)
13046,WHSA1dlIJrVZJ-y0UTlDng,Happy House,4234 N Interstate Ave,Portland,97217,45.5544656,-122.6815995,3.5,Ok food,Chinese
13086,sekbE_TpoPkVWIHMu0uBiA,Saburo's,1667 SE Bybee Blvd,Portland,97202,45.4738414,-122.6482962,3.5,have withdrawn money twice and do not want to return! disgusting attitude,Japanese
13119,0uiGvJtKIuB3qfEG6416RA,45th St Pub & Grill,4511 SW Beaverton-Hillsdale Hwy,Portland,97201,45.48599,-122.723462,3.5,Good. Not great but not bad either. Friendly bartender,American (New)
13149,NxMMPmKRi4OSF8PoCw-vLQ,Kesone Thai Lao Bistro,2600 NE Sandy Blvd,Portland,97232,45.5282227,-122.6390847,3.0,,Thai
13164,UE3Ggizal3luY5nItldZow,ChkChk,1305 NW 23rd Ave,Portland,97210,45.5321095616,-122.6988437278,4.0,,American (Traditional)
13189,67xGDBlw8bgIZ88X15bNHQ,Su Casa Mexican Restaurant,3107 N Lombard Street,Portland,97217,45.5771217,-122.6982308,3.0,,Mexican
